1 || 0.3177708764
2 || 0.1734752416
3 || 0.1294427191
4 || 0.1155166278
5 || 0.09933628792
6 || 0.04675018328
7 || 0.02620860551
8 || 0.01921415362
9 || 0.02146840221
10 || 0.01205106942
11 || 0.009143664593
12 || 0.008016474968
13 || 0.005941218552
14 || 0.002810138834
15 || 0.002828399258
16 || 0.001734172171
17 || 0.0009616506784
18 || 0.0008635085488
19 || 0.0004877335197
20 || 0.0006467370275
21 || 0.0002772577544
22 || 0.0002287149408
23 || 0.0002175015743
24 || 0.0001166359129
25 || 9.942914485e-005
26 || 8.927857287e-005
27 || 7.214464212e-005
